
---------- Begin Simulation Statistics ----------
simSeconds                                   0.007926                       # Number of seconds simulated (Second)
system.cpu.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total       24550769                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         1.548768                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                              378883                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.015433                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                 65399636                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites                35778972                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses        23349134                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                         0                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                        0                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses                0                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                    24929633                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                            0                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.idleCycles                               0                       # Number of cycles IEW is idle (Cycle)
system.cpu.squashCycles                        385660                       # Number of cycles IEW is squashing (Cycle)
system.cpu.blockCycles                        1009604                       # Number of cycles IEW is blocking (Cycle)
system.cpu.unblockCycles                      1086801                       # Number of cycles IEW is unblocking (Cycle)
system.cpu.dispatchedInsts                   27533098                       # Number of instructions dispatched to IQ (Count)
system.cpu.dispSquashedInsts                   318038                       # Number of squashed instructions skipped by dispatch (Count)
system.cpu.dispLoadInsts                      5820420                       # Number of dispatched load instructions (Count)
system.cpu.dispStoreInsts                     3474832                       # Number of dispatched store instructions (Count)
system.cpu.dispNonSpecInsts                     72916                       # Number of dispatched non-speculative instructions (Count)
system.cpu.iqFullEvents                         37844                       # Number of times the IQ has become full, causing a stall (Count)
system.cpu.lsqFullEvents                      1041592                       # Number of times the LSQ has become full, causing a stall (Count)
system.cpu.memOrderViolationEvents                292                       # Number of memory order violations (Count)
system.cpu.predictedTakenIncorrect             283567                       # Number of branches that were predicted taken incorrectly (Count)
system.cpu.predictedNotTakenIncorrect          216392                       # Number of branches that were predicted not taken incorrectly (Count)
system.cpu.branchMispredicts                   499959                       # Number of branch mispredicts detected at execute (Count)
system.cpu.numInsts                          23860359                       # Number of executed instructions (Count)
system.cpu.numLoadInsts                       5248830                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                    690410                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                   0                       # Number of nop insts executed (Count)
system.cpu.numRefs                            8291293                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                        4622647                       # Number of branches executed (Count)
system.cpu.numStoreInsts                      3042463                       # Number of stores executed (Count)
system.cpu.numRate                           1.505214                       # Inst execution rate ((Count/Cycle))
system.cpu.instsToCommit                     23441459                       # Cumulative count of insts sent to commit (Count)
system.cpu.writebackCount                    23349134                       # Cumulative count of insts written-back (Count)
system.cpu.producerInst                      12436008                       # Number of instructions producing a value (Count)
system.cpu.consumerInst                      22916163                       # Number of instructions consuming a value (Count)
system.cpu.wbRate                            1.472964                       # Insts written-back per cycle ((Count/Cycle))
system.cpu.wbFanout                          0.542674                       # Average fanout of values written-back ((Count/Count))
system.cpu.timesIdled                             473                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           48024                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                    15255958                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                      19287511                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               1.039057                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          1.039057                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               0.962412                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          0.962412                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                   24784340                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                  14011899                       # Number of integer regfile writes (Count)
system.cpu.vecRegfileReads                         16                       # number of vector regfile reads (Count)
system.cpu.ccRegfileReads                    85491310                       # number of cc regfile reads (Count)
system.cpu.ccRegfileWrites                   10711750                       # number of cc regfile writes (Count)
system.cpu.miscRegfileReads                  45320049                       # number of misc regfile reads (Count)
system.cpu.miscRegfileWrites                   160105                       # number of misc regfile writes (Count)
system.cpu.MemDepUnit__0.insertedLoads        5820420                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores       3474832                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads       320249                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores       444157                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups                 6959675                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted           4786244                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect            375792                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups              3107481                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBHits                 2818855                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.907119                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                  897196                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect              60097                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups          527065                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits             470753                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses            56312                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted         6181                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts         8244669                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls           90076                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts            375445                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples     14577533                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::mean     1.323098                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::stdev     2.245602                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::0         8566920     58.77%     58.77% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::1         2053155     14.08%     72.85% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::2         1308664      8.98%     81.83% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::3          634107      4.35%     86.18% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::4          507627      3.48%     89.66% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::5          257007      1.76%     91.42% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::6          251671      1.73%     93.15% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::7           97918      0.67%     93.82% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::8          900464      6.18%    100.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::total     14577533                       # Number of insts commited each cycle
system.cpu.commit.instsCommitted             15255958                       # Number of instructions committed (Count)
system.cpu.commit.opsCommitted               19287511                       # Number of ops (including micro ops) committed (Count)
system.cpu.commit.memRefs                     6888069                       # Number of memory references committed (Count)
system.cpu.commit.loads                       4099688                       # Number of loads committed (Count)
system.cpu.commit.amos                              0                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                       40027                       # Number of memory barriers committed (Count)
system.cpu.commit.branches                    3824648                       # Number of branches committed (Count)
system.cpu.commit.vectorInstructions                0                       # Number of committed Vector instructions. (Count)
system.cpu.commit.floating                          0                       # Number of committed floating point instructions. (Count)
system.cpu.commit.integer                    16615058                       # Number of committed integer instructions. (Count)
system.cpu.commit.functionCalls                475580                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass            0      0.00%      0.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu     12374998     64.16%     64.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntMult        24444      0.13%     64.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntDiv            0      0.00%     64.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatAdd            0      0.00%     64.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCmp            0      0.00%     64.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCvt            0      0.00%     64.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMult            0      0.00%     64.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMultAcc            0      0.00%     64.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatDiv            0      0.00%     64.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMisc            0      0.00%     64.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatSqrt            0      0.00%     64.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAdd            0      0.00%     64.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAddAcc            0      0.00%     64.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAlu            0      0.00%     64.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCmp            0      0.00%     64.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCvt            0      0.00%     64.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMisc            0      0.00%     64.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMult            0      0.00%     64.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMultAcc            0      0.00%     64.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShift            0      0.00%     64.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShiftAcc            0      0.00%     64.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdDiv            0      0.00%     64.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSqrt            0      0.00%     64.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatAdd            0      0.00%     64.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatAlu            0      0.00%     64.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatCmp            0      0.00%     64.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatCvt            0      0.00%     64.29% # Class of committed instruction (Count)
